1000051518597804057 | B dd16  B413 3476             
1000051518597913934 | B dd16  B413 3482             
1000051518598045016 | B dd16  B413 3484             
1000051518598112251 | B dd16  B413 3488             
1000051518598180788 | B dd16  B413 3491             
1000051518598347430 | B dd16  B413 3492             
1000051518598469505 | B dd16  B413 3486             
1000051518598523138 | B dd16  B413 3489             
1000051518598758804 | B dd16  B413 3487             
1000051518599398469 | B dd16  B420 3518             
1000051518599497198 | B dd16  B420 3542             
1000051518599740722 | B dd16  B427 3515             
1000051518599791620 | B dd16  B427 3520             
1000051518599873839 | B dd16  B427 3521             
1000051518599995155 | B dd16  B427 3527             
1000051518600060602 | B dd16  B427 3541             
1000051518600142415 | B dd16  B427 46               
1000051518600218909 | B dd16  B413 3576             
1000051518600251002 | B dd16  B413 3519             
1000051518600353378 | B dd16  B413 3526             
1000051518600435277 | B dd16  B413 3530             
1000051518602274276 | B dd16  B413 3534             
1000051518602305617 | B dd16  B413 3535             
1000051518602630023 | B dd16  B413 3538             
1000051518602825347 | B dd16  B413 3539             
1000051518602898601 | B dd16  B413 3540             
1000051518603045402 | B dd16  B420 3547             
1000051518603132024 | B dd16  B421 3583             
1000051518603265387 | B dd16  B413 3549             
1000051518603355323 | B dd16  B425 3546             
1000051518603425020 | B dd16  B426 3548             
1000051518603475815 | B dd16  B426 3551             
1000051518603513083 | B dd16  B426 3554             
1000051518603559485 | B dd16  B426 3555             
1000051518603603386 | B dd16  B426 3556             
1000051518603648849 | B dd16  B426 3557             
1000051518603940628 | B dd16  B426 3560             
1000051518604047688 | B dd16  B426 3561             
1000051518604091062 | B dd16  B426 3562             
1000051518604161704 | B dd16  B426 3563             
1000051518604214014 | B dd16  B426 3564             
1000051518604253052 | B dd16  B426 3565             
1000051518604283351 | B dd16  B426 3566             
1000051518604372942 | B dd16  B426 3568             
1000051518604438747 | B dd16  B426 3570             
1000051518604493031 | B dd16  B426 3571             
1000051518604570419 | B dd16  B426 3572             
1000051518604621996 | B dd16  B426 3573             
1000051518604681854 | B dd16  B426 3574             
1000051518604742496 | B dd16  B426 3575             
1000051518604813267 | B dd16  B426 3576             
1000051518604876732 | B dd16  B426 3578             
1000051518604934983 | B dd16  B426 3579             
1000051518605005708 | B dd16  B426 3582             
1000051518605144292 | B dd16  B426 3583             
1000051518605204964 | B dd16  B426 3584             
1000051518605260804 | B dd16  B426 3583             
1000051518605328246 | B dd16  B426 2587             
1000051518605377229 | B dd16  B426 3590             
1000051518605467276 | B dd16  B430 3605             
1000051518605507750 | B dd16  B430 3589             
1000051518605559523 | B dd16  B430 3604             
1000051518605632659 | B dd16  B431 3592             
1000051518605776998 | B dd16  B431 3598             
1000051518605815363 | B dd16  B431 3601             
1000051518605874711 | B dd16  B431 3591             
1000051518606112568 | B dd16  B420 3608             
1000051518606292460 | B dd16  B426 3611             
1000051518606400262 | B dd16  B431 3612             
1000051518606450567 | B dd16  B431 3613             
1000051518606504861 | B dd16  B431 100              
1000051518606554696 | B dd16  B432 3601             
1000051518607011946 | Diary-2018-02-14 Casual Vol...
1000061517220016084 | DD17 LB392                    
1000061517299423156 | A G-H 6                       
1000061518427786912 | A G-H 6  83                   
1000061518427796648 | A G-H 6  83 1332              
1000061518427910503 | A I6  78 1366                 
1000061518428898647 | A L5  95 1358                 
1000061518431484338 | A L5  95 1382                 
1000061518431857030 | A L5  95 1367                 
1000061518432167197 | A L5  95 1379                 
1000061518432747512 | A L5  95 1391                 
1000061518433092097 | A L5  107                     
1000061518433114805 | A L5  107 1408                
1000061518433163684 | A L5  95 1406                 
1000061518433229405 | A L5  5                       
1000061518433336350 | A L5  107 1399                
1000061518705673653 | A I5  {Other}                 
1000061518705702895 | A I6  {Other}                 
1000071517238855254 | A G-H 6  84                   
1000071517239459986 | A I6  78 1315                 
1000071517239565420 | A G6/5  83 1314               
1000071517239855532 | A G-H 6  84 1313              
1000071517477006661 | A I5  96 1357                 
1000071517484200919 | A I5  96 1362                 
1000071517486839574 | A K5                          
1000071517737712271 | A I6  94 1363                 
1000071517737735981 | A I6  94 1369                 
1000071517744328480 | A I6  99 Collapse             
1000071517744423524 | A I6  100 Other               
1000071517744504244 | A I6  99 1373                 
1000071517744567931 | A I6  100 1374                
1000071517744634776 | A I6  100 1376                
1000071517744720575 | A I6  100 1377                
1000071517744864790 | A I6  100 1378                
1000071517815017192 | A I6  103 Installation        
1000071517815148425 | A I6  99 1386                 
1000071517815201494 | A I6  100 1388                
1000071517912397379 | A I6  111 1420                
1000071517943595378 | A I5  102 1405                
1000071518461707122 | A I5                          
1000071518461926928 | A I6  140 Installation        
1000071518462005590 | A I6  143 Installation        
1000071518462084678 | A I6  152 Installation        
1000071518462277822 | A I6  114 1446                
1000071518462681695 | A I5  102 1444                
1000071518590795829 | A I6  100 1516                
1000071518590998833 | A I6  143 1519                
1000071518591108316 | A I6  123 1520                
1000071518591200875 | A I6  78 1524                 
1000071518591300260 | A I6  100 1526                
1000071518591423597 | A I6  140 1538                
1000071518592514278 | A I6  78 1321                 
1000071518592626512 | A I6  78 1325                 
1000071518592674035 | A I6  78 1329                 
1000071518592804835 | A I6  78 1338                 
1000071518592844371 | A I6  78 1339                 
1000071518619732993 | I6-I                          
1000071518622056830 | I6-IIA                        
1000071518622281406 | I6-IIB                        
1000071518961379068 | I6-III                        
1000081517684651664 | A K5g                         
1000081517684770809 | B d16  b391 {Surface}         
1000081518082214209 | B dd16   B391 3424            
1000081518082385641 | B dd16  b391 3421             
1000081518082451890 | B dd16  b391 3424             
1000081518082572384 | B dd16  b391 3427             
1000111518066350177 | BB DD17                       
1000111518066846474 | BB DD17  392 {Surface}        
1000111518067087888 | BB DD17  392 3422             
1000111518067159621 | BB DD17  392 3423             
1000111518067314449 | BB DD17  393 Wall             
1000111518067642553 | BB DD17  392 3425             
1000111518067781257 | BB DD17  392 3426             
1000111518067931149 | BB DD17  395 {Fill}           
1000111518068106996 | BB DD17  395 3431             
1000111518068186023 | BB DD17  395 3432             
1000111518068216396 | BB DD17  395 3428             
1000111518068307611 | BB DD17  398 {Fill}           
1000111518068383758 | BB DD17  398 3435             
1000111518068454251 | BB DD17  399 Wall             
1000111518068956495 | BB DD17  403 Wall             
1000111518069303164 | BB DD17  403 3444             
1000111518069374969 | BB DD17  404 Wall             
1000111518069533273 | BB DD17  389 {Pit}            
1000111518069608718 | BB DD17  389 3445             
1000111518069668248 | BB DD17  404 3447             
1000111518069741646 | BB DD17  395 3439             
1000111518069774903 | BB DD17  395 3446             
1000111518069954793 | BB DD17  398 3450             
1000111518070049974 | BB DD17  398 3455             
1000111518070505914 | BB DD17  389 3450             
